ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0061614	miRNA transcription	9/305	76/18860	0.11842105263157894	7.322691975841241	7.080982998442904	3.706119899216097e-6	3.0836430263477606e-4	2.222079621635258e-4	5468/2625/3725/9314/6597/2247/4602/1956/2353	9
GO:0010821	regulation of mitochondrion organization	11/305	120/18860	0.09166666666666666	5.668306010928961	6.577243447584833	4.01441690828073e-6	3.273355547012108e-4	2.3587868612655829e-4	5468/5138/55022/1191/3479/10449/6790/2537/1634/65084/2876	11
GO:0010876	lipid localization	23/305	483/18860	0.047619047619047616	2.944574551131928	5.550596098669849	4.215155604244126e-6	3.369644980098687e-4	2.4281732283684945e-4	5950/32/63924/5468/3952/4023/9370/2167/1645/10351/23673/857/948/27346/2180/1149/1191/2171/5321/4602/5781/51012/65084	23
GO:0015749	monosaccharide transmembrane transport	11/305	122/18860	0.09016393442622951	5.5753829615694706	6.500167069652211	4.716647973504912e-6	3.698033420765294e-4	2.664810626326358e-4	32/10580/3952/9370/55022/23433/81031/5584/3479/2171/5781	11
GO:0016042	lipid catabolic process	19/305	352/18860	0.05397727272727273	3.33774217585693	5.676321286353623	5.047271924156649e-6	3.8825901197710676e-4	2.797802570073725e-4	5140/32/63924/3952/4023/5346/9370/5105/8644/5919/33/1149/2109/8613/10449/412/5321/13/8612	19
GO:0046324	regulation of D-glucose import	8/305	60/18860	0.13333333333333333	8.244808743169399	7.206135035612824	5.262015857962748e-6	3.9728219727618746e-4	2.862823832275639e-4	10580/3952/9370/55022/23433/5584/3479/5781	8
GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	19/305	354/18860	0.05367231638418079	3.3188848754283597	5.646811761899273	5.475382461173191e-6	4.058751689855109e-4	2.924744966341507e-4	5140/3952/2625/28984/8644/9846/10979/284/9270/847/3479/9314/2247/4915/1956/2335/5781/1634/2876	19
GO:0010827	regulation of D-glucose transmembrane transport	9/305	80/18860	0.1125	6.95655737704918	6.844966068852846	5.7012288038820155e-6	4.150698184540532e-4	2.9910018029388546e-4	10580/3952/9370/55022/23433/5584/3479/2171/5781	9
GO:0019216	regulation of lipid metabolic process	19/305	358/18860	0.05307262569832402	3.281802362853741	5.58841913613662	6.43133987856519e-6	4.600100471036891e-4	3.31484203159288e-4	5140/51129/32/10580/63924/5468/3952/9370/5105/857/8644/5919/9444/33/1149/2171/51280/13/2770	19
GO:0000302	response to reactive oxygen species	14/305	205/18860	0.06829268292682927	4.222950819672131	5.948558718881655	6.588354924291915e-6	4.6311591424720924e-4	3.3372229752629283e-4	3043/948/2146/847/9314/5111/983/4602/1843/2353/10628/10365/761/2876	14
GO:1905954	positive regulation of lipid localization	10/305	104/18860	0.09615384615384616	5.945775535939471	6.484249694093478	7.206933946722777e-6	4.980113508608265e-4	3.588680222177212e-4	32/5468/4023/9370/10351/857/948/2180/5321/4602	10
GO:0046323	D-glucose import	9/305	83/18860	0.10843373493975904	6.705115544143788	6.6783497269246945	7.745725860154664e-6	5.263220721975094e-4	3.7926878729283627e-4	32/10580/3952/9370/55022/23433/5584/3479/5781	9
GO:0072001	renal system development	18/305	334/18860	0.05389221556886228	3.3324825758319427	5.514162777531151	9.164666270641361e-6	5.979085053089079e-4	4.3085412088794954e-4	5950/100133941/4072/4070/2625/9370/1028/6659/7020/284/2146/847/5125/5176/2247/9510/4811/1910	18
GO:1905952	regulation of lipid localization	13/305	183/18860	0.07103825136612021	4.3927259697214005	5.912886452922915	9.212777053382474e-6	5.979085053089079e-4	4.3085412088794954e-4	32/5468/3952/4023/9370/10351/857/948/27346/2180/5321/4602/5781	13
GO:0043542	endothelial cell migration	17/305	302/18860	0.056291390728476824	3.4808381283248293	5.572051026818328	9.23920427629659e-6	5.979085053089079e-4	4.3085412088794954e-4	5468/2625/28984/7049/4223/284/9270/23328/8613/9314/1003/5176/2247/6286/2335/1634/2876	17
GO:0010586	miRNA metabolic process	10/305	108/18860	0.09259259259259259	5.725561627200971	6.314228329937074	1.0101191964259234e-5	6.434774943482015e-4	4.6369122980670266e-4	5468/2625/9444/3725/9314/6597/2247/4602/1956/2353	10
GO:2000146	negative regulation of cell motility	20/305	406/18860	0.04926108374384237	3.0461116046192362	5.343500418478034	1.1046855050697308e-5	6.927440504002675e-4	4.991928132572058e-4	4070/5468/999/2625/9370/28984/10653/7049/4223/9270/10395/3418/9314/5176/2247/7122/1843/22998/8434/1634	20
GO:0046394	carboxylic acid biosynthetic process	18/305	339/18860	0.05309734513274336	3.283330915421442	5.4389524335231805	1.1214399638562094e-5	6.927440504002675e-4	4.991928132572058e-4	51129/32/81539/4023/54988/8644/9444/33/2180/54187/2171/10797/6507/5321/2879/216/18/65084	18
GO:0014855	striated muscle cell proliferation	9/305	87/18860	0.10344827586206896	6.396834369700396	6.468605213854821	1.1423531032215068e-5	6.951303883334452e-4	5.009124133686135e-4	5950/858/7049/284/2247/10403/983/4602/2353	9
GO:0016053	organic acid biosynthetic process	18/305	342/18860	0.05263157894736842	3.2545297670405517	5.394494535436028	1.2633102751864033e-5	7.574288223433774e-4	5.458047953630421e-4	51129/32/81539/4023/54988/8644/9444/33/2180/54187/2171/10797/6507/5321/2879/216/18/65084	18
GO:0051896	regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	17/305	311/18860	0.05466237942122187	3.3801064783089982	5.4261913025368065	1.353973340397359e-5	7.91872536255296e-4	5.70625007729763e-4	5140/3952/2625/8644/10979/284/9270/847/3479/9314/2247/4915/1956/2335/5781/1634/2876	17
GO:0043116	negative regulation of vascular permeability	5/305	20/18860	0.25	15.459016393442623	8.294535482351407	1.3596045508430396e-5	7.91872536255296e-4	5.70625007729763e-4	5138/9590/10979/284/7122	5
GO:0016525	negative regulation of angiogenesis	12/305	163/18860	0.0736196319018405	4.552348385799055	5.839856292221772	1.4214405732481388e-5	8.035299635878625e-4	5.790253742751311e-4	5140/5468/28984/948/9444/64102/9314/5176/7122/9510/1634/10365	12
GO:0008286	insulin receptor signaling pathway	11/305	137/18860	0.08029197080291971	4.9649395716166085	5.971561484791843	1.436159131466266e-5	8.035299635878625e-4	5.790253742751311e-4	5140/10580/3952/858/5919/55022/23433/23235/2308/3479/5781	11
GO:0043010	camera-type eye development	19/305	379/18860	0.05013192612137203	3.0999610709805787	5.294767396218575	1.4387463169466266e-5	8.035299635878625e-4	5.790253742751311e-4	5950/8736/2625/1028/6659/7020/2202/3985/3725/9314/5176/6597/2247/28996/4915/1956/2353/7431/65084	19
GO:2000181	negative regulation of blood vessel morphogenesis	12/305	165/18860	0.07272727272727272	4.497168405365127	5.784616261452118	1.60719059348667e-5	8.854751418439397e-4	6.380752413117065e-4	5140/5468/28984/948/9444/64102/9314/5176/7122/9510/1634/10365	12
